title,price,guest,bedrooms,bathrooms
Scallop Cove ,$275.00,10 Guests,4 Bedrooms,3 Bathrooms
Canal Front Cottage,$150.00,6 Guests,2 Bedrooms,1 Bathrooms
Pirate Harbor ,$300.00,10 Guests,4 Bedrooms,3 Bathrooms
Tejas Tides,$200.00,6 Guests,3 Bedrooms,2.5 Bathrooms
Salt Lake Lodge Upstairs ,$225.00,8 Guests,2 Bedrooms,2 Bathrooms
Dock of the Bay,$250.00,8 Guests,3 Bedrooms,3 Bathrooms
A Little Bit of Paradise,$150.00,6 Guests,3 Bedrooms,2 Bathrooms
A Coastal Dream,$150.00,6 Guests,3 Bedrooms,2 Bathrooms
Pickled Pirate,$300.00,8 Guests,3 Bedrooms,3.5 Bathrooms
George's Landing,$350.00,14 Guests,4 Bedrooms,3 Bathrooms
Rock N Reel Fish You Were Here! ,$200.00,8 Guests,3 Bedrooms,2.5 Bathrooms
The Best Catch!,$275.00,10 Guests,4 Bedrooms,3 Bathrooms
Casa Azul,$175.00,10 Guests,3 Bedrooms,3 Bathrooms
Reel Dreams,$275.00,10 Guests,3 Bedrooms,3 Bathrooms
Smooth Sailing (pid 528985),$200.00,8 Guests,3 Bedrooms,2 Bathrooms
Redfish Villa,$137.00,6 Guests,2 Bedrooms,1 Bathrooms
Caprice Cottage ,$175.00,6 Guests,2 Bedrooms,2 Bathrooms
Lillybet's Landing,$275.00,6 Guests,3 Bedrooms,2.5 Bathrooms
Nanny's Coast House Unit A,$120.00,4 Guests,2 Bedrooms,1 Bathrooms
Spoonbill,$150.00,6 Guests,2 Bedrooms,2 Bathrooms
Mellow Yellow,$175.00,6 Guests,3 Bedrooms,3 Bathrooms
Mermaid Lagoon,$185.00,6 Guests,3 Bedrooms,2.5 Bathrooms
Forever Paradise,$350.00,10 Guests,4 Bedrooms,2 Bathrooms
Coastal Oasis,$250.00,7 Guests,3 Bedrooms,2 Bathrooms
K's Coast Condo,$125.00,6 Guests,2 Bedrooms,2 Bathrooms
