title,price,guest,bedrooms,bathrooms
Captain Dave's Anchor House ,$350.00,8 Guests,3 Bedrooms,2 Bathrooms
Coastal Joy,$205.00,6 Guests,2 Bedrooms,2 Bathrooms
Happy Harbor,$300.00,10 Guests,4 Bedrooms,3 Bathrooms
Cormorant Crossing,$190.00,8 Guests,3 Bedrooms,2 Bathrooms
Coastal Soul,$150.00,6 Guests,3 Bedrooms,2 Bathrooms
Sailhouse Harbour,$175.00,4 Guests,2 Bedrooms,2 Bathrooms
Blue Seas ,$175.00,6 Guests,3 Bedrooms,2.5 Bathrooms
Fins N Feathers,$190.00,8 Guests,3 Bedrooms,3 Bathrooms
Coastal Oasis,$250.00,7 Guests,3 Bedrooms,2 Bathrooms
Clessy's Landing,$135.00,4 Guests,2 Bedrooms,1 Bathrooms
Fisherman Luv,$200.00,8 Guests,3 Bedrooms,2 Bathrooms
A Coastal Dream,$150.00,6 Guests,3 Bedrooms,2 Bathrooms
Copano Cabana,$175.00,6 Guests,3 Bedrooms,2 Bathrooms
La Casa Bahia,$250.00,8 Guests,3 Bedrooms,2 Bathrooms
Ingleside Cove,$300.00,8 Guests,3 Bedrooms,2 Bathrooms
The Peacock Palace,$175.00,6 Guests,3 Bedrooms,2 Bathrooms
Coral Harbor,$175.00,6 Guests,3 Bedrooms,2.5 Bathrooms
Golden Gull,$135.00,4 Guests,2 Bedrooms,2 Bathrooms
Nanny's Coast House Unit A,$120.00,4 Guests,2 Bedrooms,1 Bathrooms
Canal Front Cottage,$150.00,6 Guests,2 Bedrooms,1 Bathrooms
Reel Dreams,$275.00,10 Guests,3 Bedrooms,3 Bathrooms
A Little Bit of Paradise,$150.00,6 Guests,3 Bedrooms,2 Bathrooms
El Flamingo,$125.00,4 Guests,1 Bedrooms,1 Bathrooms
Tejas Tides,$200.00,6 Guests,3 Bedrooms,2.5 Bathrooms
The Best Catch!,$275.00,10 Guests,4 Bedrooms,3 Bathrooms
